source_file,simulation_id,scan_point,thickness[µm],v(V),jtot(mA/cm2),j_total_rec(mA/cm2),j_total_gen(mA/cm2),jbulk(mA/cm2),jifr(mA/cm2),jminor_left(mA/cm2),jminor_right(mA/cm2),j_SRH(mA/cm2),j_Radiative(mA/cm2),j_Auger(mA/cm2),Voc,Jsc,FF,eta,V_MPP,J_MPP
thickness.iv,1,47,0.5,0.9874,-13.479962,45.1850223,32.6414989,5.50127928,39.5349588,0.128713849,0.0200704,5.40681759,0.0944616913,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,48,0.5,1.036422,-19.2843994,50.9683122,32.6414989,6.03997737,44.7795237,0.128721095,0.0200901078,5.93216751,0.107809862,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,49,0.5,1.075923,-23.1845008,54.8483627,32.6414989,6.38442085,48.3151032,0.128726161,0.0201124852,6.26780893,0.11661192,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,50,0.5,1.107535,-25.5070615,57.1524163,32.6414989,6.58395621,50.4195943,0.128729296,0.0201364665,6.46211036,0.121845842,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,51,0.5,1.133987,-26.7973134,58.4211928,32.6414989,6.68950237,51.582798,0.128730978,0.0201614289,6.56494258,0.124559789,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,52,0.5,1.157498,-27.499608,59.103365,32.6414989,6.74630481,52.2081417,0.128731911,0.0201866134,6.62025474,0.12605007,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,53,0.5,1.179492,-27.8984668,59.4821641,32.6414989,6.77766971,52.5555502,0.128732433,0.0202117384,6.65079453,0.126875182,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,54,0.5,1.200733,-28.1466725,59.7103466,32.6414989,6.7965124,52.7648651,0.128732748,0.0202363992,6.66914042,0.127371978,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,55,0.5,1.221603,-28.3206034,59.8642725,32.6414989,6.8092068,52.9060721,0.128732961,0.0202605994,6.68149948,0.127707324,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,56,0.5,1.24229,-28.4579702,59.9816427,32.6414989,6.81887914,53.0137458,0.128733124,0.0202846071,6.6909159,0.12796324,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,57,0.5,1.262881,-28.5761471,60.0798265,32.6414989,6.82696487,53.1038203,0.128733261,0.0203081228,6.69878745,0.12817742,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,58,0.5,1.283418,-28.6835961,60.1672838,32.6414989,6.83416201,53.1840571,0.128733383,0.0203312268,6.70579379,0.128368212,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,59,0.5,1.303922,-28.7844261,60.2481223,32.6414989,6.84080932,53.2582254,0.128733495,0.0203540725,6.7122648,0.128544525,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,60,0.5,1.324402,-28.8803245,60.3240291,32.6414989,6.84704614,53.3278731,0.128733601,0.0203763392,6.71833612,0.12871002,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,61,0.5,1.344864,-28.9728157,60.3965285,32.6414989,6.85299827,53.3943982,0.128733703,0.020398319,6.72413026,0.128868014,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,2,1,0.5408,-0.15533,31.0660924,1.94922686,33.0347316,0.0680051554,1.73938963,0.128472241,0.0133598353,0.0679442012,6.09542714e-05,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,2,0.5408,-0.135031,31.0062675,1.98904673,33.0347316,0.069281752,1.77792099,0.12847769,0.0133663002,0.0692149366,6.68153584e-05,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,3,0.5408,-0.114724,30.9448103,2.03050379,33.0347316,0.0706121586,1.81803591,0.1284831,0.0133726197,0.0705388035,7.335513e-05,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,4,0.5408,-0.094408,30.8816577,2.07365626,33.0347316,0.0720005727,1.85978843,0.128488473,0.0133787838,0.0719199114,8.06613047e-05,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,5,0.5408,-0.074084,30.8167517,2.11856217,33.0347316,0.0734517176,1.90323186,0.12849381,0.0133847829,0.0733628849,8.88327317e-05,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,6,0.5408,-0.05375,30.7500349,2.16527887,33.0347316,0.0749708998,1.94841826,0.128499111,0.0133906072,0.074872919,9.79807572e-05,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,7,0.5408,-0.033407,30.6814502,2.21386336,33.0347316,0.0765640845,1.99539866,0.128504377,0.0133962471,0.076455854,0.000108230525,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,8,0.5408,-0.013055,30.6109407,2.26437268,33.0347316,0.0782379789,2.0442234,0.128509609,0.0134016936,0.0781182566,0.000119722361,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,9,0.5408,0.007308,30.5384486,2.31686464,33.0347316,0.0800001225,2.09494277,0.128514808,0.0134069377,0.0798675092,0.000132613259,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,10,0.5408,0.02768,30.4639143,2.3713988,33.0347316,0.0818589862,2.14760787,0.128519975,0.0134119717,0.0817119078,0.00014707848,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,11,0.5408,0.048064,30.3872751,2.42803775,33.0347316,0.0838240822,2.20227177,0.128525111,0.0134167886,0.0836607689,0.000163313321,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,12,0.5408,0.068458,30.3084641,2.48684859,33.0347316,0.0859060849,2.25899091,0.128530216,0.0134213827,0.0857245498,0.000181535073,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,13,0.5408,0.088863,30.2274077,2.54790474,33.0347316,0.088116969,2.31782673,0.128535292,0.0134257497,0.0879149838,0.000201985273,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,14,0.5408,0.10928,30.1440245,2.61128794,33.0347316,0.090470168,2.37884755,0.128540339,0.0134298868,0.0902452357,0.000224932307,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
