source_file,simulation_id,scan_point,band gap[eV],electron affinity[eV],v(V),jtot(mA/cm2),j_total_rec(mA/cm2),j_total_gen(mA/cm2),jbulk(mA/cm2),jifr(mA/cm2),jminor_left(mA/cm2),jminor_right(mA/cm2),j_SRH(mA/cm2),j_Radiative(mA/cm2),j_Auger(mA/cm2),Voc,Jsc,FF,eta,V_MPP,J_MPP
bandGap+ElectronAffinity.iv,1,48,1.2,3.97,1.083236,-28.6471937,62.4627388,34.7682332,0.684097662,61.6247098,0.128998714,0.0249326684,0.664781092,0.0193165701,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,49,1.2,3.97,1.103697,-28.7394472,62.5349922,34.7682332,0.684310951,61.696675,0.128998764,0.0250074778,0.664986447,0.0193245042,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,50,1.2,3.97,1.124145,-28.8289108,62.6044558,34.7682332,0.68451567,61.7658599,0.128998812,0.0250813794,0.665183543,0.0193321271,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,51,1.2,3.97,1.144578,-28.9156672,62.6712122,34.7682332,0.684712121,61.8323469,0.128998858,0.0251542863,0.665372675,0.019339446,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,52,1.2,3.97,1.165,-29.0000234,62.7355684,34.7682332,0.684901227,61.8964415,0.128998902,0.0252267778,0.665554731,0.019346496,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,53,1.2,3.97,1.18541,-29.082096,62.7976409,34.7682332,0.685083368,61.9582602,0.128998945,0.0252984348,0.665730077,0.0193532904,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,54,1.2,3.97,1.20581,-29.161998,62.8575429,34.7682332,0.685258908,62.0179162,0.128998986,0.0253688279,0.665899066,0.0193598422,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,55,1.2,3.97,1.226199,-29.2397034,62.9152483,34.7682332,0.685427798,62.075383,0.128999026,0.025438504,0.66606165,0.0193661476,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,56,1.2,3.97,1.246578,-29.3156893,62.9712342,34.7682332,0.685591423,62.1311365,0.128999064,0.0255071642,0.666219159,0.0193722641,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,57,1.2,3.97,1.26695,-29.3899529,63.0254977,34.7682332,0.685749824,62.1851732,0.128999101,0.025575616,0.666371637,0.0193781869,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
